,Participant,elab.decay,elab.temp,elab.ter,elab.LL,med.decay,med.temp,med.ter,med.LL,best.model,diff.LL
0,1001.0,0.3383329723709985,0.23744479334777277,0.16459114236531794,-216.19620293136836,1.9999999979470209,0.45604336473638585,1.9999876850420801,-259.2941064963928,Elaborative,-43.09790356502447
1,1002.0,1.999952051446196,0.7368132822907396,1.999955721101463,-301.0567664396945,1.9999851352250684,0.548203324591413,1.9999999986313743,-266.7401142741976,Mediator,34.31665216549692
2,1003.0,1.999952051446196,0.6843435683135665,1.999955721101463,-298.44776168957003,1.9999999979470209,0.47849390899651484,1.9999876850420801,-259.7356295441365,Mediator,38.71213214543354
3,1004.0,1.999952051446196,1.054929172031744,1.999955721101463,-314.80350140508466,1.9999999979470209,0.6008744351183475,1.9999876850420801,-276.1910468152732,Mediator,38.61245458981148
4,1005.0,1.9999999979470209,0.4639382567408045,1.9999876850420801,-268.97320702235766,1.9999999979470209,0.39712616978640947,1.9999876850420801,-234.60637235861589,Mediator,34.36683466374177
5,1006.0,1.9999520291993014,0.6182099180160342,1.9999557062707118,-291.90506917015034,1.9999999979470209,0.4955130357515792,1.9999876850420801,-258.79346971101086,Mediator,33.111599459139484
6,1007.0,1.9999999979470209,0.565061207613345,1.9999876850420801,-285.72701970203747,1.9999999979470209,0.4454232570936782,1.9999876850420801,-248.64368323717773,Mediator,37.08333646485974
7,1008.0,0.41086278182855773,0.20713719309953105,0.12971034225141698,-190.19653990151565,1.9999520291993014,0.41674294007094737,1.9999557062707118,-253.74063245602477,Elaborative,-63.54409255450912
8,1009.0,1.9999520291993014,0.4180402565104911,1.9999557062707118,-264.20671349844264,1.9999999979470209,0.38101892965658957,1.9999876850420801,-235.1787695753405,Mediator,29.02794392310213
9,1010.0,1.9999999979470209,0.40034958441679735,1.9999876850420801,-253.0581616711038,1.9999999979470209,0.37591511900565155,1.9999876850420801,-226.21729964126484,Mediator,26.840862029838945
10,1011.0,1.999952051446196,0.7798576903559236,1.999955721101463,-303.0602707846202,1.9999999979470209,0.5293494210718079,1.9999876850420801,-264.3390621122369,Mediator,38.721208672383284
11,1012.0,0.32353872345479623,0.2508425445136383,0.1851276695049625,-222.45762514400246,1.9999999979470209,0.5152123296482837,1.9999876850420801,-267.2539319525495,Elaborative,-44.79630680854706
12,1013.0,1.999952051446196,0.6435206217933992,1.999955721101463,-295.2834451261743,1.9999999979470209,0.5286917215458622,1.9999876850420801,-264.7792861801927,Mediator,30.5041589459816
13,1014.0,1.999952051446196,0.6591063740033012,1.999955721101463,-297.40490348650883,1.9999999979470209,0.4982842479445403,1.9999876850420801,-263.1610949598559,Mediator,34.24380852665291
14,1015.0,0.18069166501378406,0.45504757938112966,0.16255622770913092,-279.5552698595803,1.9999851352250684,0.9192646245399397,1.9999999986313743,-293.638425093845,Elaborative,-14.083155234264723
15,1016.0,1.999952051446196,0.5332394054187639,1.999955721101463,-287.4930768434641,1.9999999979470209,0.40879012051611197,1.9999876850420801,-250.21075949580433,Mediator,37.282317347659784
16,1017.0,1.999952051446196,0.7032207314865069,1.999955721101463,-301.0358820143788,1.9999999979470209,0.4844917130370846,1.9999876850420801,-263.15543612077823,Mediator,37.88044589360055
17,1018.0,1.9999999979470209,0.4898581621370122,1.9999876850420801,-274.10814185552334,1.9999999979470209,0.41638981321696844,1.9999876850420801,-240.6082172998453,Mediator,33.499924555678035
18,1019.0,1.999952051446196,0.9482953084736904,1.999955721101463,-310.8948967617311,1.9999851352250684,0.5584936553721814,1.9999999986313743,-270.17947354411416,Mediator,40.715423217616944
19,1020.0,1.9999999979470209,0.4081546910648579,1.9999876850420801,-257.53289293218205,1.9999999979470209,0.3856458003989676,1.9999876850420801,-231.434807544193,Mediator,26.098085387989045
20,1021.0,1.999952051446196,0.7484331154783062,1.999955721101463,-302.44330260773063,1.9999999979470209,0.5927799076857683,1.9999876850420801,-272.4837611920822,Mediator,29.959541415648403
21,1022.0,1.999952051446196,0.642565759710569,1.999955721101463,-296.25097640201557,1.9999999979470209,0.5420421373571064,1.9999876850420801,-267.579607151729,Mediator,28.671369250286546
22,1023.0,1.999952051446196,0.6328598759950995,1.999955721101463,-293.609128768548,1.9999999979470209,0.5106978114277283,1.9999876850420801,-261.28703003739685,Mediator,32.32209873115113
23,1024.0,1.9999999979470209,0.5478531866392142,1.9999876850420801,-282.3892331897197,1.9999999979470209,0.47175960613937956,1.9999876850420801,-251.70888896584552,Mediator,30.680344223874158
24,1025.0,1.9999520291993014,0.4720465639140343,1.9999557062707118,-273.67043321642853,1.9999999979470209,0.3776754917532143,1.9999876850420801,-234.27999471819092,Mediator,39.390438498237614
25,1026.0,1.9999520291993014,0.48672818253223804,1.9999557062707118,-276.6709800283618,1.9999999979470209,0.41692542971843083,1.9999876850420801,-243.89746269498738,Mediator,32.7735173333744
26,1028.0,1.9999999979470209,0.4318220379521312,1.9999876850420801,-264.2547377655372,1.9999999979470209,0.37992405536504115,1.9999876850420801,-232.17973146418495,Mediator,32.07500630135223
27,1029.0,1.999952051446196,0.8868073047333215,1.999955721101463,-308.96751142873967,1.9999999979470209,0.5416112263283325,1.9999876850420801,-269.11241014211276,Mediator,39.855101286626905
28,1031.0,1.9999999979470209,0.43517128685402195,1.9999876850420801,-266.8531665546048,1.9999999979470209,0.3945932493231539,1.9999876850420801,-238.02212865948331,Mediator,28.831037895121483
29,1032.0,0.21375496610022546,0.42442281554685435,0.13266389606499163,-275.05298100689765,1.9999851352250684,0.8881303634887713,1.9999999986313743,-292.02942787710475,Elaborative,-16.9764468702071
30,1033.0,1.999952051446196,0.7262596261759986,1.999955721101463,-301.41292360589154,1.9999999979470209,0.46957211857069847,1.9999876850420801,-259.9495829347554,Mediator,41.46334067113611
31,1035.0,1.9999520291993014,0.4490965796407141,1.9999557062707118,-272.6920800064008,1.9999999979470209,0.3701501550620872,1.9999876850420801,-235.88557915942795,Mediator,36.806500846972824
32,1036.0,1.9999520291993014,0.4924342955352469,1.9999557062707118,-276.2656644716367,1.9999999979470209,0.45998123124848744,1.9999876850420801,-250.62112822969246,Mediator,25.644536241944223
33,1037.0,1.9999999979470209,0.41496159100286995,1.9999876850420801,-260.8524423671314,1.9999999979470209,0.34218872263365163,1.9999876850420801,-221.9193647974162,Mediator,38.93307756971521
34,1038.0,1.9999999979470209,0.4392320868644598,1.9999876850420801,-266.5197760856191,1.9999999979470209,0.38692500402291397,1.9999876850420801,-234.71582458869378,Mediator,31.80395149692535
35,1039.0,1.9999999979470209,0.5387749057214416,1.9999876850420801,-282.6004810595833,1.9999999979470209,0.4779723156648995,1.9999876850420801,-254.02427128351624,Mediator,28.57620977606703
36,1040.0,1.999952051446196,0.9013015518446852,1.999955721101463,-309.1290418119772,1.9999999979470209,0.532194856859949,1.9999876850420801,-267.6152489613333,Mediator,41.51379285064388
37,1041.0,1.999952051446196,0.6652986751348517,1.999955721101463,-297.4104067160363,1.9999999979470209,0.49647967400037624,1.9999876850420801,-262.11842348523237,Mediator,35.29198323080391
38,1042.0,1.999952051446196,0.5253837731854232,1.999955721101463,-281.58019579714164,1.9999999979470209,0.4424108206596642,1.9999876850420801,-249.04404518109723,Mediator,32.53615061604441
39,1043.0,1.999952051446196,0.4646808678813147,1.999955721101463,-275.7287500471997,1.9999999979470209,0.3926326150217347,1.9999876850420801,-241.97916628106506,Mediator,33.749583766134634
40,1044.0,1.9999999979470209,0.39586525123578414,1.9999876850420801,-255.03495953529202,1.9999999979470209,0.34164693148000813,1.9999876850420801,-220.60265708214416,Mediator,34.432302453147855
41,1045.0,1.999952051446196,0.4944077759371407,1.999955721101463,-279.0630271357865,1.9999999979470209,0.3930431584895187,1.9999876850420801,-241.01996232162043,Mediator,38.04306481416609
42,1046.0,1.9999520291993014,0.5122970954411993,1.9999557062707118,-279.9518156575383,1.9999999979470209,0.44863171214116443,1.9999876850420801,-249.72650786189945,Mediator,30.225307795638855
43,1047.0,1.9999999979470209,0.38580764383497995,1.9999876850420801,-246.83123868009545,1.9999999979470209,0.3798985815783167,1.9999876850420801,-224.63500391276676,Mediator,22.19623476732869
44,1049.0,1.999952051446196,0.5248301211399296,1.999955721101463,-280.35502924582806,1.9999999979470209,0.4446471164918503,1.9999876850420801,-248.1205674708396,Mediator,32.23446177498846
45,1050.0,0.2942250326339371,0.27397901057597546,0.1146233365963086,-239.69366732693754,1.9999999979470209,0.5212715469513417,1.9999876850420801,-268.41100316799157,Elaborative,-28.717335841054023
46,1051.0,0.38406481208005844,0.21976575896948894,0.12464579130394178,-199.62354856664615,1.9999520291993014,0.4529755055252037,1.9999557062707118,-259.5731282626111,Elaborative,-59.94957969596493
47,1053.0,0.3643817727255852,0.24868871130214815,0.11308834252907651,-221.81363262620133,1.999952051446196,0.49471488579986456,1.999955721101463,-268.34685636463524,Elaborative,-46.53322373843392
48,1054.0,1.999952051446196,0.5671520033158723,1.999955721101463,-289.1936478058081,1.9999999979470209,0.4120297081654189,1.9999876850420801,-247.82769394629798,Mediator,41.365953859510114
49,1055.0,0.33128833721976214,0.2915661605972225,0.19872822080479172,-243.5975475743713,1.9999520291993014,0.5975629769649957,1.9999557062707118,-276.7680392020681,Elaborative,-33.170491627696805
50,1056.0,0.3900489462070456,0.21798919409180123,0.1863663209041268,-194.51589971797517,1.9999999979470209,0.39516524537320774,1.9999876850420801,-248.9166973831346,Elaborative,-54.400797665159416
51,1057.0,0.3488706619308787,0.2268290044165194,0.24637057008580557,-213.65335588404932,1.9999999979470209,0.452295625850958,1.9999876850420801,-255.75045541649266,Elaborative,-42.09709953244334
52,1058.0,1.999952051446196,0.7152075311115994,1.999955721101463,-301.48659443691656,1.9999999979470209,0.5523412352551249,1.9999876850420801,-270.31524733709,Mediator,31.171347099826562
53,1059.0,1.9999999979470209,0.40781922174955565,1.9999876850420801,-256.74644238401936,1.9999999979470209,0.37480603110187993,1.9999876850420801,-228.05068868471898,Mediator,28.695753699300383
54,1061.0,0.3357382568347128,0.31473591718157556,0.15844257529754016,-250.33746891304762,1.999952051446196,0.628825341143661,1.999955721101463,-281.1539270219487,Elaborative,-30.81645810890106
55,1063.0,0.26577440177023176,0.5419842912038179,0.17064223446893392,-289.5672751253136,1.999952051446196,0.8868961447720011,1.999955721101463,-293.24151005942673,Elaborative,-3.6742349341131444
56,1064.0,0.3604743113570431,0.16921386377801304,0.12118796655690997,-149.19600078953601,1.9999999979470209,0.3588118086903288,1.9999876850420801,-229.683837989203,Elaborative,-80.48783719966698
57,1065.0,1.999952051446196,0.4962183467080975,1.999955721101463,-281.1713950322303,1.9999999979470209,0.4310880667000489,1.9999876850420801,-251.12637574260555,Mediator,30.045019289624747
58,1067.0,0.27709777293224735,0.4882953314472213,0.16712768026793556,-283.67160618482546,1.999952051446196,0.9045892295513744,1.999955721101463,-293.850900780267,Elaborative,-10.179294595441547
59,1068.0,0.3053135652067814,0.18218318495497096,0.14565818478448572,-154.28631217613676,1.9999999979470209,0.36511866888164896,1.9999876850420801,-234.3239705133849,Elaborative,-80.03765833724813
60,1069.0,1.9999999979470209,0.4444667154840002,1.9999876850420801,-265.70905657119476,1.9999999979470209,0.41476000643938643,1.9999876850420801,-239.1444215195712,Mediator,26.564635051623554
61,,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
